Date,Close,High,Low,Open,Volume,Ticker
2020-02-10,116.66333770751953,116.67088565387401,114.51031615346236,115.56038500340571,5480831,IBM
2020-02-11,115.94567108154297,117.26013512384283,115.37908073497582,117.18459537109776,4011515,IBM
2020-02-12,117.328125,117.54720836549073,115.97588507486039,116.14963253202723,4641939,IBM
2020-02-13,116.57268524169922,116.96551608453005,115.89279127099498,116.61802115235128,3996452,IBM
2020-02-14,113.84553527832031,116.76155064568738,113.14297336474898,116.65578293260563,6379763,IBM
2020-02-18,114.14771270751953,114.35923608803758,113.04477194998047,113.1580876160643,3496778,IBM
2020-02-19,113.96641540527344,114.74452924310448,113.55092861167904,114.48012197949464,2858613,IBM
2020-02-20,114.23837280273438,114.54054389401739,112.9465645597321,113.92864170689309,3013003,IBM
2020-02-21,113.19583892822266,114.10237621390326,112.44039319972586,114.10237621390326,3699597,IBM
2020-02-24,110.61978912353516,111.8436176775842,109.82657941657287,109.92478713650125,5703210,IBM
2020-02-25,107.0540771484375,111.10326093635277,106.71413018881125,110.68021422338383,6497229,IBM
2020-02-26,105.57341003417969,108.82938450988601,105.46009437191354,107.95306305661497,5656663,IBM
2020-02-27,100.55725860595703,104.77264231477456,100.48171884886914,103.67724952117183,8808471,IBM
2020-02-28,98.32115173339844,99.03127374181395,95.45801985676493,98.19272810640747,13607832,IBM
2020-03-02,101.45623779296875,101.56200551221168,96.65916772499756,98.7744135930446,8923844,IBM
2020-03-03,97.3768310546875,102.81602453759886,96.54583956098476,101.59220826471044,8259321,IBM
2020-03-04,101.39579772949219,101.44112158086689,97.45237548272996,99.40142769477936,5226234,IBM
2020-03-05,97.86788177490234,99.93779774947637,97.03689017752214,98.58555167772617,5696725,IBM
2020-03-06,96.49296569824219,96.9462343807085,94.06798879729273,95.71485797675679,8570192,IBM
2020-03-09,88.99896240234375,92.47400842004583,88.59857152801051,90.77425529145644,11252345,IBM
2020-03-10,94.2568588256836,94.33995859409256,87.45029810831785,92.75352710412253,11935592,IBM
2020-03-11,89.11984252929688,92.60244293264068,87.91868182245227,91.41639620839022,8835039,IBM
2020-03-12,77.66728973388672,82.9478507638607,77.26690487384111,82.83453509028148,13088284,IBM
2020-03-13,81.55026245117188,82.46435373611078,76.15638655864726,82.10173881221068,13077197,IBM
2020-03-16,74.84947204589844,81.14232537611181,71.76725718559616,74.03358845003005,11054128,IBM
2020-03-17,80.56819152832031,81.13477588290654,73.35369252011873,76.00530681728534,9684182,IBM
2020-03-18,78.22631072998047,80.77971116655097,75.09121198551978,75.0987659609342,9176035,IBM
2020-03-19,75.80133819580078,78.33207684941051,74.21490078085957,77.30466981905536,8782739,IBM
2020-03-20,72.06188201904297,76.29237357692817,71.54817551100363,76.23948971953442,11031639,IBM
2020-03-23,71.59351348876953,73.83718313408362,68.41309048518276,71.46508986159313,10176952,IBM
2020-03-24,79.68433380126953,80.10738062100552,74.98546477937295,75.53694126337439,8340699,IBM
2020-03-25,79.96383666992188,84.97243605545714,77.68239131788013,79.68432148269554,9052084,IBM
2020-03-26,85.28217315673828,85.47858859634069,79.75231891420829,80.76461201717083,7482561,IBM
2020-03-27,81.61071014404297,84.23210262650272,81.3236409660483,82.0262029444759,6718458,IBM
2020-03-30,85.31239318847656,85.71277806328669,81.4445160192299,81.6560394215395,5820467,IBM
2020-03-31,83.8014907836914,85.97716824467388,83.22735250368275,84.60981434928017,6635092,IBM
2020-04-01,79.4274673461914,83.03849678446296,78.95909071408047,80.34911265916965,6394093,IBM
2020-04-02,83.09891510009766,83.34066036688854,79.427454452835,79.60120792135491,6619820,IBM
2020-04-03,80.3340072631836,83.15181509238808,79.2612703462242,82.28305360984069,4747585,IBM
2020-04-06,86.74018096923828,87.35208921653233,83.19714305275409,83.36334258734459,7357773,IBM
2020-04-07,86.83082580566406,90.3285334772324,86.77794797744443,89.74684119454767,5852684,IBM
2020-04-08,90.11701965332031,90.62316620631185,86.92904272403143,87.86579606741287,5395896,IBM
2020-04-09,91.78655242919922,92.85928332144822,90.78180731996271,91.01599262998486,5832705,IBM
2020-04-13,91.52214050292969,92.01317905422596,89.17270340349972,91.88475544195201,5355206,IBM
2020-04-14,93.60717010498047,94.5665853400994,92.63264691792452,93.26722310026209,5322780,IBM
2020-04-15,89.66374206542969,90.7969107369169,88.2057343607492,89.98858712733445,5896616,IBM
