Date,Close,High,Low,Open,Volume,Ticker
2020-01-02,8.145882606506348,8.158095021096809,7.87720249734322,7.907734407340996,18369400,ET
2020-01-03,8.274118423461914,8.310756259592072,8.023757741296851,8.18252266844071,17589700,ET
2020-01-06,8.353501319885254,8.463415412487802,8.341288319402796,8.384032656395568,17745400,ET
2020-01-07,8.322968482971191,8.414563647094663,8.243585735635184,8.408457729874856,13880200,ET
2020-01-08,8.145882606506348,8.365711310264386,8.078712288041693,8.322966985676148,13534500,ET
2020-01-09,8.20084285736084,8.31075695732713,8.127566596600664,8.304651039024746,17812200,ET
2020-01-10,8.103140830993652,8.219161426665512,8.066502411001107,8.213054926275433,9656700,ET
2020-01-13,8.2496919631958,8.316861709181785,8.072607558007451,8.127564887608633,14960300,ET
2020-01-14,8.280223846435547,8.353500091511352,8.213053518355187,8.31075517845626,8169600,ET
2020-01-15,8.243586540222168,8.322969295306056,8.213054621751763,8.243586540222168,16732300,ET
2020-01-16,8.292436599731445,8.365712847784778,8.268011183713668,8.30464959891426,10396300,ET
2020-01-17,8.280223846435547,8.353500091511352,8.219160017698462,8.347393592168077,14865000,ET
2020-01-21,7.987117290496826,8.298541730100744,7.9687983770929955,8.298541730100744,18867600,ET
2020-01-22,7.7611823081970215,8.09703216948929,7.748969310676537,8.09092567072905,24765000,ET
2020-01-23,7.932162284851074,7.944375285586108,7.626844254650359,7.712333512751813,14241300,ET
2020-01-24,7.785608291625977,7.987118106703764,7.687906633691027,7.962692692220027,12398800,ET
2020-01-27,7.70012092590332,7.742865848425579,7.571887323032462,7.626844664598253,19122500,ET
2020-01-28,7.810035705566406,7.864993047811466,7.706227521847509,7.7245464418132075,11273700,ET
2020-01-29,7.846673011779785,7.9077362637628115,7.822247594516999,7.877204346597357,13337300,ET
2020-01-30,7.803926944732666,7.828352358395843,7.7062252900799555,7.785608030072232,17240000,ET
2020-01-31,7.687907695770264,7.828353702867321,7.639056860054079,7.767290449396038,11075600,ET
